1486748799:  Terminal ready
1486748897:    OK
1486748951:  add hl,<bc,de,hl,sp>..........  OK
1486749004:  add ix,<bc,de,ix,sp>..........  OK
1486749058:  add iy,<bc,de,iy,sp>..........  OK
1486749085:  aluop a,nn....................  OK
1486750036:  aluop a,<b,c,d,e,h,l,(hl),a>..  OK
1486750521:  aluop a,<ixh,ixl,iyh,iyl>.....  OK
1486750765:  aluop a,(<ix,iy>+1)...........  OK
1486750767:  bit n,(<ix,iy>+1).............  OK
1486750829:  bit n,<b,c,d,e,h,l,(hl),a>....  OK
1486750841:  cpd<r>........................  OK
1486750853:  cpi<r>........................  OK
1486750905:  <daa,cpl,scf,ccf>.............  OK
1486750908:  <inc,dec> a...................  OK
1486750911:  <inc,dec> b...................  OK
1486750912:  <inc,dec> bc..................  OK
1486750915:  <inc,dec> c...................  OK
1486750918:  <inc,dec> d...................  OK
1486750919:  <inc,dec> de..................  OK
1486750922:  <inc,dec> e...................  OK
1486750925:  <inc,dec> h...................  OK
1486750926:  <inc,dec> hl..................  OK
1486750928:  <inc,dec> ix..................  OK
1486750929:  <inc,dec> iy..................  OK
1486750932:  <inc,dec> l...................  OK
1486750935:  <inc,dec> (hl)................  OK
1486750936:  <inc,dec> sp..................  OK
1486750942:  <inc,dec> (<ix,iy>+1).........  OK
1486750945:  <inc,dec> ixh.................  OK
1486750948:  <inc,dec> ixl.................  OK
1486750951:  <inc,dec> iyh.................  OK
1486750954:  <inc,dec> iyl.................  OK
1486750954:  ld <bc,de>,(nnnn).............  OK
1486750954:  ld hl,(nnnn)..................  OK
1486750954:  ld sp,(nnnn)..................  OK
1486750954:  ld <ix,iy>,(nnnn).............  OK
1486750954:  ld (nnnn),<bc,de>.............  OK
1486750954:  ld (nnnn),hl..................  OK
1486750954:  ld (nnnn),sp..................  OK
1486750954:  ld (nnnn),<ix,iy>.............  OK
1486750954:  ld <bc,de,hl,sp>,nnnn.........  OK
1486750954:  ld <ix,iy>,nnnn...............  OK
1486750954:  ld a,<(bc),(de)>..............  OK
1486750954:  ld <b,c,d,e,h,l,(hl),a>,nn....  OK
1486750954:  ld (<ix,iy>+1),nn.............  OK
1486750955:  ld <b,c,d,e>,(<ix,iy>+1)......  OK
1486750955:  ld <h,l>,(<ix,iy>+1)..........  OK
1486750955:  ld a,(<ix,iy>+1)..............  OK
1486750955:  ld <ixh,ixl,iyh,iyl>,nn.......  OK
1486750959:  ld <bcdehla>,<bcdehla>........  OK
1486750968:  ld <bcdexya>,<bcdexya>........  OK
1486750968:  ld a,(nnnn) / ld (nnnn),a.....  OK
1486750968:  ldd<r> (1)....................  OK
1486750968:  ldd<r> (2)....................  OK
1486750968:  ldi<r> (1)....................  OK
1486750968:  ldi<r> (2)....................  OK
1486750981:  neg...........................  OK
1486750988:  <rrd,rld>.....................  OK
1486750993:  <rlca,rrca,rla,rra>...........  OK
1486750994:  shf/rot (<ix,iy>+1)...........  ERROR **** crc expected:713acd81 found:cb288fcc
1486751002:  shf/rot <b,c,d,e,h,l,(hl),a>..  ERROR **** crc expected:eb604d58 found:fac70e40
1486751011:  <set,res> n,<bcdehl(hl)a>.....  OK
1486751012:  <set,res> n,(<ix,iy>+1).......  OK
1486751013:  ld (<ix,iy>+1),<b,c,d,e>......  OK
1486751013:  ld (<ix,iy>+1),<h,l>..........  OK
1486751013:  ld (<ix,iy>+1),a..............  OK
1486751013:  ld (<bc,de>),a................  OK
1486751013:  Tests completeZ80 instruction exerciser
1486751121:  <adc,sbc> hl,<bc,de,hl,sp>....  OK
1486751175:  add hl,<bc,de,hl,sp>..........  OK
1486751229:  add ix,<bc,de,ix,sp>..........  OK
1486751283:  add iy,<bc,de,iy,sp>..........  OK
1486751310:  aluop a,nn....................  OK
1486752261:  aluop a,<b,c,d,e,h,l,(hl),a>..  OK
1486752745:  aluop a,<ixh,ixl,iyh,iyl>.....  OK
1486752990:  aluop a,(<ix,iy>+1)...........  OK
1486752992:  bit n,(<ix,iy>+1).............  OK
1486753053:  bit n,<b,c,d,e,h,l,(hl),a>....  OK
1486753065:  cpd<r>........................  OK
1486753077:  cpi<r>........................  OK
1486753129:  <daa,cpl,scf,ccf>.............  OK
1486753132:  <inc,dec> a...................  OK
1486753135:  <inc,dec> b...................  OK
1486753137:  <inc,dec> bc..................  OK
1486753139:  <inc,dec> c...................  OK
1486753142:  <inc,dec> d...................  OK
1486753144:  <inc,dec> de..................  OK
1486753147:  <inc,dec> e...................  OK
1486753149:  <inc,dec> h...................  OK
1486753151:  <inc,dec> hl..................  OK
1486753152:  <inc,dec> ix..................  OK
1486753154:  <inc,dec> iy..................  OK
1486753157:  <inc,dec> l...................  OK
1486753159:  <inc,dec> (hl)................  OK
1486753161:  <inc,dec> sp..................  OK
1486753167:  <inc,dec> (<ix,iy>+1).........  OK
1486753169:  <inc,dec> ixh.................  OK
1486753172:  <inc,dec> ixl.................  OK
1486753175:  <inc,dec> iyh.................  OK
1486753178:  <inc,dec> iyl.................  OK
1486753178:  ld <bc,de>,(nnnn).............  OK
1486753178:  ld hl,(nnnn)..................  OK
1486753178:  ld sp,(nnnn)..................  OK
1486753178:  ld <ix,iy>,(nnnn).............  OK
1486753178:  ld (nnnn),<bc,de>.............  OK
1486753178:  ld (nnnn),hl..................  OK
1486753178:  ld (nnnn),sp..................  OK
1486753178:  ld (nnnn),<ix,iy>.............  OK
1486753178:  ld <bc,de,hl,sp>,nnnn.........  OK
1486753178:  ld <ix,iy>,nnnn...............  OK
1486753178:  ld a,<(bc),(de)>..............  OK
1486753178:  ld <b,c,d,e,h,l,(hl),a>,nn....  OK
1486753178:  ld (<ix,iy>+1),nn.............  OK
1486753179:  ld <b,c,d,e>,(<ix,iy>+1)......  OK
1486753179:  ld <h,l>,(<ix,iy>+1)..........  OK
1486753179:  ld a,(<ix,iy>+1)..............  OK
1486753179:  ld <ixh,ixl,iyh,iyl>,nn.......  OK
1486753184:  ld <bcdehla>,<bcdehla>........  OK
1486753193:  ld <bcdexya>,<bcdexya>........  OK
1486753193:  ld a,(nnnn) / ld (nnnn),a.....  OK
1486753193:  ldd<r> (1)....................  OK
1486753193:  ldd<r> (2)....................  OK
1486753193:  ldi<r> (1)....................  OK
1486753193:  ldi<r> (2)....................  OK
1486753205:  neg...........................  OK
1486753212:  <rrd,rld>.....................  OK
1486753218:  <rlca,rrca,rla,rra>...........  OK
1486753218:  shf/rot (<ix,iy>+1)...........  ERROR **** crc expected:713acd81 found:cb288fcc
1486753227:  shf/rot <b,c,d,e,h,l,(hl),a>..  ERROR **** crc expected:eb604d58 found:fac70e40
1486753235:  <set,res> n,<bcdehl(hl)a>.....  OK
1486753236:  <set,res> n,(<ix,iy>+1).......  OK
1486753237:  ld (<ix,iy>+1),<b,c,d,e>......  OK
1486753237:  ld (<ix,iy>+1),<h,l>..........  OK
1486753237:  ld (<ix,iy>+1),a..............  OK
1486753237:  ld (<bc,de>),a................  OK
1486753238:  Tests completeZ80 instruction exerciser
